time,realization,lat,lon,tas
1988-09-02,0,50.09999999999997,12.299999999999995,285.43872
1988-10-02,0,50.09999999999997,12.299999999999995,282.4131
1988-11-02,0,50.09999999999997,12.299999999999995,273.62256
1988-12-02,0,50.09999999999997,12.299999999999995,273.90894
1989-01-02,0,50.09999999999997,12.299999999999995,273.6172
1989-02-02,0,50.09999999999997,12.299999999999995,274.89502
1989-03-02,0,50.09999999999997,12.299999999999995,278.49365
1989-04-02,0,50.09999999999997,12.299999999999995,280.1687
1989-05-02,0,50.09999999999997,12.299999999999995,285.53198
1989-06-02,0,50.09999999999997,12.299999999999995,287.18433
1989-07-02,0,50.09999999999997,12.299999999999995,289.8164
1989-08-02,0,50.09999999999997,12.299999999999995,289.24292
1989-09-02,0,50.09999999999997,12.299999999999995,286.72607
1989-10-02,0,50.09999999999997,12.299999999999995,282.08887
